cc,ASN,AS Name,DNSSEC Validates,Uses Google PDNS,Samples
ZA,AS10474,OPTINET,0.9195,0.1123,14283
ZA,AS10798,SBICSA,0,0,69
ZA,AS10803,EAST-COAST-ACCESS,0,0,16
ZA,AS11157,ELAB,0,0,1
AO,AS11259,ANGOLATELECOM,0.0804,0.9346,1467
ZA,AS11845,Vox-Telecom,0.2064,0.3088,5794
ZA,AS12091,MTNNS-1,0,0,44
TZ,AS12143,RAHA,0.1014,0.2872,2051
ZA,AS12258,OPTINET,0,0,5
KE,AS12455,JAMBONET,0.0441,0.4666,23508
CD,AS12491,IPPLANET-AS,0,0,19
ZM,AS12491,IPPLANET-AS,0,0,19
UG,AS12491,IPPLANET-AS,0.6066,0.9164,933
NG,AS12491,IPPLANET-AS,0.0055,0.0476,546
GA,AS12491,IPPLANET-AS,0,0,18
KE,AS12556,internet-solutions-ke,0.0894,0.4073,1063
UG,AS12556,internet-solutions-ke,0,0,10
KE,AS12684,SES-LUX-AS,0.8239,0.507,142
GA,AS12684,SES-LUX-AS,0,0,2
ZA,AS12701,BARCAP London,0,0,16
CD,AS13126,SMS-UK-NET,0,0,11
KE,AS13126,SMS-UK-NET,0,0,17
TZ,AS13126,SMS-UK-NET,0,0,3
ZA,AS131284,ETISALATAFG-AS-AP Etisalat Afghan,0.2264,0.3247,4493
KE,AS13224,NAIROBINET,0,0,49
ZA,AS132839,"POWERLINE-AS-AP POWER LINE (HK) CO., LIMITED",0,0,48
BW,AS14988,BTC-GATE1,0.0457,0.1317,14733
ZA,AS15022,ADEPT-,0.6581,0.8376,117
KE,AS15399,WANANCHI-,0.9526,0.1874,40089
EG,AS15475,NOL,0.1064,0.2553,94
RE,AS15557,LDCOMNET,0,0,
SD,AS15706,Sudatel,0.0288,0.0715,109967
EG,AS15804,UNSPECIFIED,0.4351,0.7789,285
KE,AS15808,ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving,0.1461,0.4251,6058
GH,AS15825,GDC-ASN,0,0,5
CM,AS15964,CAMNET-AS,0.469,0.5553,13945
GA,AS16058,Gabon-Telecom,0.0271,0.1025,28331
MA,AS16206,ABRARED (NEUTRA NETWORK SERVICES),0,0,24
DZ,AS16214,CERIST,0,0,54
NG,AS16284,UNSPECIFIED,0.0895,0.3402,8013
ZA,AS16637,MTNNS-AS,0.0122,0.018,19249
BW,AS16637,MTNNS-AS,0.2221,0.1737,662
NA,AS16637,MTNNS-AS,0.3832,0.595,321
ZA,AS17148,FIRST-NATIONAL,0,0.1045,287
AO,AS17400,MSTELCOM,0.128,0.531,1047
