ASN	Count seen in last 28 days	Address	Also saw both TAs	Spamhaus PBL status
#Generated at 20180807070225	#	#	#	#
3	6	18.72.0.3	False	False
3	1	170.245.240.3	False	False
12	18	128.122.253.46	True	False
12	15	128.122.253.24	True	False
31	17	131.215.139.100	True	False
31	14	131.215.254.100	True	False
42	25	74.63.24.243	True	False
42	23	2620:171:f8:f0::7	True	False
42	23	2620:171:f8:f0::3	True	False
42	23	2620:171:f8:f0::4	True	False
42	23	2620:171:f8:f0::9	True	False
42	22	66.185.113.244	True	False
42	22	2620:171:f8:f0::2	True	False
42	22	66.185.113.242	True	False
42	21	2620:171:e3:f0::4	True	False
42	21	66.185.113.243	True	False
42	21	74.63.24.248	True	False
42	21	74.63.24.242	True	False
42	21	2620:171:e3:f0::3	True	False
42	21	74.63.24.244	True	False
42	20	2620:171:f8:f0::6	True	False
42	19	74.63.24.249	True	False
42	19	74.63.24.247	True	False
42	19	2620:171:f8:f0::8	True	False
42	18	2620:171:e1:f0::3	True	False
42	18	2620:171:e1:f0::2	True	False
42	18	2620:171:e1:f0::4	True	False
42	14	74.63.30.244	True	False
42	12	2620:171:fa:f0::6	True	False
42	11	2620:171:fe:f0::4	True	False
42	11	66.185.112.244	True	False
42	10	74.63.21.242	True	False
42	10	2620:171:fa:f0::2	True	False
42	10	2620:171:fd:f0::2	True	False
42	10	74.63.20.244	True	False
42	10	2620:171:fa:f0::3	True	False
42	8	2620:171:ff:f0::4	True	False
42	8	2620:171:fd:f0::3	True	False
42	8	2620:171:fa:f0::4	True	False
42	6	74.63.16.247	True	False
42	6	2620:171:f9:f0::4	True	False
42	6	2620:171:f1:f0::6	True	False
42	6	2620:171:fe:f0::2	True	False
42	5	74.63.16.248	True	False
42	4	2620:171:f9:f0::7	True	False
42	4	74.63.17.246	True	False
42	4	2620:171:f4:f0::2	True	False
42	4	2620:171:f1:f0::7	True	False
42	3	2620:171:eb:f0::3	True	False
42	3	2620:171:f1:f0::2	True	False
42	2	2620:171:57::242	True	False
42	2	74.63.25.248	True	False
42	2	66.185.122.243	True	False
46	22	128.6.152.2	False	False
52	17	131.179.128.16	True	False
52	2	2607:f010:3fe:13:0:ff:fe00:b	False	False
109	9	72.163.220.24	True	False
127	1	128.149.31.66	False	False
137	12	130.192.3.24	True	False
137	5	147.162.175.4	False	False
137	3	2001:760:421e:26::30	False	False
156	11	129.10.110.251	False	False
160	1	128.135.247.150	True	False
160	1	128.135.249.150	False	False
174	27	38.125.162.34	False	False
174	19	87.239.254.184	True	False
174	16	66.90.96.18	True	False
174	16	38.117.85.2	False	False
174	11	149.13.91.8	True	False
174	7	2001:978:902:1000::3	True	False
174	7	2001:978:1:25::2a	False	False
174	6	2001:550:1:20::1a	True	False
174	6	81.2.165.244	False	False
174	6	185.157.163.8	False	False
174	6	2001:978:1:24::1a	False	False
174	5	149.13.91.6	True	False
174	5	2001:550:1:21::2a	True	False
174	4	2001:978:902:1000::1	True	False
174	3	38.75.30.2	True	False
174	2	90.159.229.131	False	False
174	2	104.218.63.39	False	False
174	2	38.123.68.22	False	False
174	2	104.218.63.46	False	False
174	1	104.218.63.58	False	False
209	27	206.81.192.2	True	False
209	26	205.171.253.211	True	False
209	26	205.171.175.196	True	False
209	25	205.171.177.196	True	False
209	24	206.80.192.2	True	False
209	24	205.171.177.194	True	False
209	24	63.225.162.78	False	False
209	23	205.171.253.218	True	False
209	21	206.81.192.3	True	False
209	21	198.36.160.3	True	False
209	21	206.80.192.1	True	False
209	20	63.228.175.169	False	False
209	19	205.171.253.245	True	False
209	18	205.171.253.212	True	False
209	18	205.171.29.207	True	False
209	17	206.80.192.3	True	False
209	17	206.80.192.4	True	False
209	16	206.81.192.1	True	False
209	16	75.163.48.164	False	True
209	15	205.171.177.193	True	False
209	15	198.36.160.7	True	False
209	13	205.171.233.241	True	False
209	13	205.171.169.89	True	False
209	12	205.171.19.239	True	False
209	12	206.81.192.4	True	False
209	12	204.26.64.4	True	False
209	12	205.171.175.194	True	False
209	12	207.108.32.3	True	False
209	12	75.166.229.187	False	False
209	12	205.171.169.93	True	False
209	11	205.171.29.214	True	False
209	10	205.171.172.89	True	False
209	10	204.26.64.1	True	False
209	10	205.171.29.213	True	False
209	9	207.108.240.2	True	False
209	8	65.127.216.46	True	False
209	8	63.158.87.138	False	False
209	7	205.171.95.227	True	False
209	7	205.171.172.93	True	False
209	6	205.171.29.251	True	False
209	6	67.232.2.22	False	True
209	6	205.171.30.239	True	False
209	5	65.127.216.41	True	False
209	4	207.109.192.3	False	False
209	4	184.157.33.177	False	True
209	4	205.171.30.251	True	False
209	2	184.103.141.195	False	False
209	1	70.59.10.245	True	True
209	1	207.119.47.227	False	True
209	1	198.59.53.9	False	False
209	1	75.167.219.139	False	True
209	1	63.145.191.26	False	False
209	1	184.102.103.157	True	False
209	1	184.102.192.71	False	False
209	1	144.163.160.153	False	False
209	1	71.213.244.186	False	True
209	1	205.171.21.214	True	False
209	1	205.171.233.247	True	False
209	1	75.169.41.177	False	False
209	1	63.156.47.18	True	False
209	1	184.4.184.200	False	False
224	2	129.240.2.3	True	False
224	1	129.240.2.40	True	False
239	3	128.100.102.137	False	False
250	27	193.227.235.8	True	False
250	23	2001:4ce8:cfff:5300:c132::	True	False
250	14	193.227.235.13	True	False
257	2	204.102.229.134	False	False
278	4	132.248.254.246	False	False
553	9	129.206.107.71	True	False
559	6	128.178.223.24	True	False
559	2	2001:620:618:1df:1:80b2:df1b:1	False	False
577	28	198.235.211.153	True	False
577	28	198.235.211.154	True	False
577	27	198.235.211.152	True	False
577	27	198.235.211.165	True	False
577	27	198.235.211.151	True	False
577	27	198.235.211.134	True	False
577	26	198.235.211.164	True	False
577	26	198.235.211.161	True	False
577	26	198.235.211.162	True	False
577	26	198.235.211.156	True	False
577	26	198.235.211.163	True	False
577	26	198.235.211.160	True	False
577	26	198.235.211.159	True	False
577	26	198.235.210.154	True	False
577	25	198.235.211.155	True	False
577	25	198.235.211.157	True	False
577	25	198.235.211.158	True	False
577	23	198.235.210.157	True	False
577	23	198.235.210.161	True	False
577	23	198.235.210.153	True	False
577	22	70.27.237.234	False	False
577	22	198.235.210.156	True	False
577	21	198.235.210.134	True	False
577	21	198.235.210.152	True	False
577	21	198.235.210.155	True	False
577	21	198.235.210.159	True	False
577	21	198.235.210.158	True	False
577	21	198.235.210.164	True	False
577	20	198.235.210.160	True	False
577	20	198.235.210.165	True	False
577	20	198.235.210.163	True	False
577	19	198.235.210.151	True	False
577	19	198.235.210.162	True	False
577	16	69.157.246.214	False	False
577	14	70.52.115.154	False	False
577	11	198.235.213.152	True	False
577	10	198.235.214.140	False	False
577	9	198.235.213.151	True	False
577	8	198.235.214.174	False	False
577	8	70.30.11.241	False	False
577	8	198.235.214.138	False	False
577	8	142.118.112.208	False	False
577	7	174.89.147.223	True	False
577	6	198.235.214.173	False	False
577	6	198.235.213.148	True	False
577	6	198.235.213.154	True	False
577	6	198.235.213.150	False	False
